SEZNAM ŽENSKÝCH JMEN,,,,,,,,,,,
OTYLIE,,POLINA,,REMEDIOS,,SELENGE,,,,,
OTÝLIE,,POLIXENI,,REMONA,,SELENIE,,,,,
OXANA,,POLLYANNA,,REMUNÉ,,SELIN,,,,,
OZ,,POLYXENA,,RENA,,SELINA,,,,,
,,POPPY,,RENATA,,SELINE,,,,,
,,PRAEWA,,RENÁTA,,SELMA,,,,,
,,PRAVOMILA,,RENATE,,SEMANTIKA,,,,,
,,PRAVOSLAVA,,RENEE,,SEMIRAMIS,,,,,
,,PRIMAVERA,,RENEÉ,,SENAMI,,,,,
,,PRIMROSE,,RENÉE,,SENTA,,,,,
,,PRISKA,,RENESME,,SERAFIMA,,,,,
,,PRIŠKA,,RENESMEE,,SERAFINA,,,,,
,,PŘIBYSLAVA,,REUT,,SERAFÍNA,,,,,
,,PUNAM,,REVEKKA,,SEREN,,,,,
,,PUTU,,RÉZI,,SERENA,,,,,
,,PYARI,,RHEA,,SERRY,,,,,
,,QUINN,,RHEIA,,SEVERINA,,,,,
,,,,RIANA,,SEYRAM,,,,,
,,,,RIANNA,,SHAHNOZA,,,,,
,,,,RIBANA,,SHAIMA,,,,,
,,,,RIDDHI,,SHAMMI,,,,,
,,,,RICHARDA,,SHANEL,,,,,
,,,,RIINA,,SHANI,,,,,
,,,,RIJA,,SHANIA,,,,,
,,,,RIKA,,SHANTI,,,,,
,,,,RIKO,,SHANY,,,,,
,,,,RIMA,,SHARLOTA,,,,,
,,,,RIMEL,,SHARLOTTA,,,,,
,,,,RIMMA,,SHAYA,,,,,
,,,,RINA,,SHAYLI,,,,,
,,,,RISA,,SHEILA,,,,,
,,,,RITA,,SHEIMA,,,,,
,,,,RITTA,,SHELLY,,,,,
,,,,RIVA,,SHEREEN,,,,,
,,,,RIVKA,,SHERIN,,,,,
,,,,ROBERTA,,SHERYL,,,,,
,,,,ROBINA,,SHIMRIT,,,,,
,,,,ROCCA,,SHINJA,,,,,
,,,,RODA,,SHIRA,,,,,
,,,,RODICA,,SHIREEN,,,,,
,,,,ROCHELLE,,SHIRI,,,,,
