,,,,,,,,,,
SEZNAM RODOVĚ NEUTRÁLNÍCH JMEN,,,,,,,,,,
JOSEY,,KINLEY,,LUCE,,MELAINE,,NOLLAIG,,
JOSIA,,KIRA,,LUCIAN,,MELEK,,NOMKE,,
JOSLYN,,KIRAN,,LUCIEN,,MELIAN,,NON,,
JOSS,,KIRBY,,LUCIENE,,MELIS,,NONKE,,
JOSSELIN,,KIRSTEN,,LÜCKE,,MELLE,,NOOR,,
JOSY,,KIRSTIN,,LUCKY,,MEMKE,,NORE,,
JOVITA,,KIRSTY,,LUCRECE,,MENKE,,NÖRGAARD,,
JOYCE,,KIRY,,LUCY,,MENNA,,NORI,,
JUDA,,KIS,,LUD,,MENTE,,NORTO,,
JUDE,,KISMET,,LUDE,,MENTHE,,NORTU,,
JUDI,,KISS,,LUGGI,,MEQQOQ,,NOUR,,
JUGAS,,KIT,,LUICKE,,MEQQUNNGUAQ,,NOVEMBER,,
JUKI,,KITT,,LUK,,MER,,NOY,,
JUL,,KIVI,,LUKA,,MEREDITH ,,NUANNERSOQ,,
JULES,,KIWI,,LÜKE,,MERLE,,NUGARDS,,
JULIE,,KIYMET,,LÜKEN,,MERLIJN,,NUKA,,
JULIEN,,KIZILELMA,,LUMEN ,,MERLIN,,NUKAAKA,,
JUN,,KJAER,,LUMI,,MERRILL,,NUKAALUK,,
JURA,,KLAAR,,LUND,,MERRY,,NUKAARANNGUAQ,,
JURRIE,,KLAS,,LUONG,,MERTE,,NUKAARAQ,,
JUSTE,,KLOCKAR,,LUPKE,,MESTAN,,NUKAKKULUK,,
JUSTEL,,KLORIS,,LUT,,METE,,NUKANGUAK,,
JUSTIN,,KNAGG,,LUTSJE,,METTE,,NUKANGUAQ,,
JUUL,,KNAPP,,LUTSKE,,MIA,,NUKANNGUAQ,,
JUVAS,,KNEEL,,LUUTJE,,MIACH,,NUKANO,,
,,KNIF,,LUX,,MIAO,,NUKANU,,
,,KNUTS,,LUZ,,MICAL,,NUKANUNNGUAQ,,
,,KO,,LUZI,,MICKAL,,NUKARAK,,
,,KOA,,LY,,MICKELS,,NUKARAQ,,
,,KOHAKU,,LYCKE,,MICKEY,,NUKARLEQ,,
,,KOKORO,,LYKKE,,MIEN,,NUKARLIAQ,,
,,KOLJA,,LYLE,,MIES,,NUKARTAA,,
,,KOLJU,,LYN,,MIHIRO,,NUKARTAAQ,,
,,KOMANG,,LYNDEN,,MICHA,,NUKARTAAVA,,
,,KONCA,,LYNN,,MICHAEL **,,NUKARTAAVARANNGUAQ,,
,,KONNE,,,,MICHAJA,,NUKASSI,,
,,KONNI,,,,MICHAL **,,NUKATA,,
,,KONNY,,,,MICHELE,,NUKATSIAQ,,
,,KONSTANS,,,,MICHELLE,,NUKKIAQ,,
,,KONUK,,,,MICHI,,NUKO,,
,,KOOB,,,,MICHOL,,NUKU,,
,,KOOS,,,,MIKA,,NUKUNA,,
,,KORA,,,,MIKAH,,NUKUNNGUASIK,,
,,KORDEL,,,,MIKAL,,NULIARPAK,,
,,KORE,,,,MIKE,,NÚNE,,
,,KOSI,,,,MIKI,,NUNNI,,
,,KOSISOCHUKWU,,,,MIKISOQ,,NUNNII,,
,,KOSMA,,,,MIKISSUK,,NUNNU,,
,,KOSTAK,,,,MIKIVSSUK,,NUNO,,
,,KOTO,,,,MIKO,,NÚNO,,
,,KOTOHA,,,,MIKOL,,NÛNO *,,
,,KÖZ,,,,MILANDU,,NÚR,,
,,KRAK,,,,MILATTEEQ,,NUR ,,
,,KRANG,,,,MILE,,NURHAN,,
,,KREEL,,,,MILES,,NURI,,
,,KREIN,,,,MILLE,,NURKAN,,
,,KRESZENS,,,,MILLI,,NURKUT,,
,,KRINE,,,,MILOTA,,NUS,,
,,KRIS,,,,MILTIADES,,NUUNU,,
,,KRISHNA,,,,MIN,,NÜVIT,,
,,KRISCHNA,,,,MINAGI,,NÜZHIT,,
,,KRISTA,,,,MINEQ,,NYJAH,,
,,KRISTEL,,,,MING,,,,
,,KRISTEN,,,,MINGO,,,,
,,KRISTI,,,,MINH,,,,
,,KRISTIAN,,,,MINI,,,,
,,KRISTIEN,,,,MINIK,,,,
,,KRISTIN,,,,MINJA,,,,
,,KRISTYAN,,,,MINKE,,,,
,,KUAN,,,,MINNE,,,,
,,KUÁNIA,,,,MINNEQ,,,,
,,KUANNIA,,,,MINORI,,,,
,,KUDDUSI,,,,MINSKE,,,,
,,KUKA,,,,MINTSJE,,,,
,,KUKKU,,,,MIO,,,,
,,KÚKO,,,,MIRAI,,,,
,,KUKUS,,,,MIRʼAT ,,,,
,,KULA,,,,MIRAY,,,,
,,KULOOQ,,,,MIRO,,,,
,,KULUK,,,,MIRRIH,,,,
,,KÚNAK,,,,MIRTIL,,,,
,,KÚNANA,,,,MIRTILL,,,,
,,KUNNAK,,,,MIRZA,,,,
,,KUNNANA,,,,MISA,,,,
,,KUNNE,,,,MISAKI,,,,
,,KUNT,,,,MISHA,,,,
,,KURUMI,,,,MISHEL,,,,
,,KUTAN,,,,MISCHA,,,,
,,KUTAY,,,,MISCHKA,,,,
,,KUTLU,,,,MISJA,,,,
,,KUTSAL,,,,MÍŠA,,,,
,,KUTSALAN,,,,MIŠEEL,,,,
,,KUTSALAR,,,,MITSUKI,,,,
,,KUTSAN,,,,MITU,,,,
