SEZNAM MUŽSKÝCH JMEN,,,,,,,,,,
JURIJ,,,,,,MEIR,,,,
JURO,,,,,,MELICHAR,,,,
JUSTÍN,,,,,,MELVIN,,,,
JUSTYN,,,,,,MENELIK,,,,
JUSTÝN,,,,,,MERARI,,,,
JUSUF,,,,,,MERT,,,,
,,,,,,MET,,,,
,,,,,,METEHAN,,,,
,,,,,,METHOD,,,,
,,,,,,METIN,,,,
,,,,,,METOD,,,,
,,,,,,METODĚJ,,,,
,,,,,,MICK,,,,
,,,,,,MIECZYSLAW,,,,
,,,,,,MIECZYSŁAW,,,,
,,,,,,MIGUEL,,,,
,,,,,,MIHAI,,,,
,,,,,,MIHAIL,,,,
,,,,,,MIHAILO,,,,
,,,,,,MIHAJLO,,,,
,,,,,,MIHALIS,,,,
,,,,,,MIHÁLY,,,,
,,,,,,MICH,,,,
,,,,,,MICHAIL,,,,
,,,,,,MICHAŁ,,,,
,,,,,,MICHALIS,,,,
,,,,,,MICHEÁŠ,,,,
,,,,,,MICHEL,,,,
,,,,,,MICHELANGELO,,,,
,,,,,,MIKAEL,,,,
,,,,,,MIKAIL,,,,
,,,,,,MIKEL,,,,
,,,,,,MIKEŠ,,,,
,,,,,,MIKEY,,,,
,,,,,,MIKHAIL,,,,
,,,,,,MIKIAS,,,,
,,,,,,MIKKEL,,,,
,,,,,,MIKKO,,,,
,,,,,,MIKLÓS,,,,
,,,,,,MIKO,,,,
,,,,,,MIKOLA,,,,
,,,,,,MIKOLAJ,,,,
,,,,,,MIKOŁAJ,,,,
,,,,,,MIKOLAS,,,,
,,,,,,MIKOLÁŠ,,,,
,,,,,,MIKULÁŠ,,,,
,,,,,,MIKY,,,,
,,,,,,MILAD,,,,
,,,,,,MILAN,,,,
,,,,,,MILÁN,,,,
,,,,,,MILANO,,,,
,,,,,,MILENKO,,,,
,,,,,,MILIČ,,,,
,,,,,,MILÍČ,,,,
,,,,,,MILIVOJ,,,,
,,,,,,MILKO,,,,
,,,,,,MILO,,,,
,,,,,,MILOMÍR,,,,
,,,,,,MILOŇ,,,,
,,,,,,MILORAD,,,,
,,,,,,MILOS,,,,
,,,,,,MILOSLAV,,,,
,,,,,,MILOŠ,,,,
,,,,,,MILOUŠ,,,,
,,,,,,MILOVAN,,,,
,,,,,,MILTON,,,,
,,,,,,MINAS,,,,
,,,,,,MINDAUGAS,,,,
,,,,,,MINH ANH,,,,
,,,,,,MINH DUC,,,,
,,,,,,MINHO,,,,
,,,,,,MIODRAG,,,,
,,,,,,MIRAN,,,,
,,,,,,MIRCO,,,,
,,,,,,MIREK,,,,
,,,,,,MIRKO,,,,
,,,,,,MIRLIND,,,,
,,,,,,MIRON,,,,
,,,,,,MIROSLAV,,,,
,,,,,,MIROSŁAW,,,,
,,,,,,MIROŠ,,,,
,,,,,,MIRSAD,,,,
,,,,,,MISHAEL,,,,
,,,,,,MIŠA,,,,
,,,,,,MÍŠAEL,,,,
,,,,,,MIŠEL,,,,
,,,,,,MÍŤA,,,,
,,,,,,MITAR,,,,
,,,,,,MITKO,,,,
,,,,,,MLADEN,,,,
,,,,,,MNISLAV,,,,
,,,,,,MOHAB,,,,
,,,,,,MOHAMAD,,,,
,,,,,,MOHAMED,,,,
,,,,,,MOHAMMAD,,,,
,,,,,,MOHAMMED,,,,
,,,,,,MOHEB,,,,
,,,,,,MOJMÍR,,,,
,,,,,,MOON,,,,
,,,,,,MORAN,,,,
,,,,,,MORDECHAJ,,,,
,,,,,,MORIS,,,,
,,,,,,MORITZ,,,,
,,,,,,MORRIS,,,,
,,,,,,MORRISON,,,,
,,,,,,MORTIMER,,,,
,,,,,,MOŘIC,,,,
,,,,,,MOSHE,,,,
,,,,,,MOURAD,,,,
,,,,,,MOUSSA,,,,
,,,,,,MOUSTAFA,,,,
,,,,,,MOWGLI,,,,
,,,,,,MSTISLAV,,,,
,,,,,,MUHAMMAD,,,,
,,,,,,MUCHTAR,,,,
,,,,,,MUKHAMMED,,,,
,,,,,,MUNIR,,,,
,,,,,,MURAD,,,,
,,,,,,MURAT,,,,
,,,,,,MURFY,,,,
,,,,,,MURPHY,,,,
,,,,,,MUSTAFA,,,,
,,,,,,MUSTAPHA,,,,
,,,,,,MYCHAJLO,,,,
,,,,,,MYKOLA,,,,
,,,,,,MYKOLAJ,,,,
,,,,,,MYKYTA,,,,
,,,,,,MYLAN,,,,
,,,,,,MYRON,,,,
,,,,,,MYROSLAV,,,,
